楼房名称,价格（套/万元）,单价（元/m2）,地址,房间样式,房间规模（m2）,楼层规模
房子为复式结构，看房提前预约，一室，拎包入住,52,10400,玫瑰苑 ,1室1厅 ,50, 高楼层
新华苑，交通便利，配套齐全，随时看房,70,13646,新华苑 ,2室1厅 ,51.3, 低楼层
越河二纺厂宿舍精装修设施齐全拎包入住,23.8,3819,越河村 ,2室1厅 ,62.33, 高楼层
此房低楼层，交通便利，满五年，看房方便提前联系,50,8959,淮安供电南院 ,2室1厅 ,55.81, 低楼层
淮海花园，位置安静，交通便利，随时看房,160,10171,淮海花园B2区 ,3室2厅 ,157.32, 中楼层
车站旁 亚特蓝郡 毛坯电梯三房 户型好随时看房,109.8,8914,亚特蓝郡 ,3室2厅 ,123.19, 中楼层
玖珑湾 毛坯  位置好 户型好 小区环境优美 生活便利,99.8,8679,玖珑湾 ,3室2厅 ,115, 低楼层
视野宽阔 采光很好 户型好 有多条线路公交车,55,8397,富春小区 ,2室2厅 ,65.5, 高楼层
婚房 精装修 拎包入住  小两房 公摊面积小,50,9077,运河家苑 ,2室1厅 ,55.09, 高楼层
白鹭湖沁园 联排别墅 看房提前联系,330,12626,白鹭湖庄园沁园 ,4室2厅 ,261.37, 3层  
水岸名宅，交通便利，教育设施完善，位置安静,118,9329,水岸名宅 ,3室2厅 ,126.5, 高楼层
茂华国际 毛坯大平层  户型方正 景观房 采光好,200,11628,茂华国际汇南区 ,4室2厅 ,172, 中楼层
帝景豪庭2室毛坯 有阁楼 位置好 采光充足 交通便利,96,9874,世邦帝景豪庭 ,4室2厅 ,97.23, 高楼层
新里中 央公馆，房屋出售，环境优美。,255,16140,绿地世纪城五期 ,4室2厅 ,158, 高楼层
阳光广场，交通便利，采光好，南北相通,180,7665,阳光广场 ,6室2厅 ,234.85, 高楼层
奥林晴园 4室2厅 122万,122,7771,奥林晴园 ,4室2厅 ,157, 高楼层
水沐清华南北通风户型 客厅餐厅厨房北.采光好户型方正,88,8000,水沐清华 ,3室2厅 ,110, 高楼层
东城江南别墅，院子大概有50平方。,450,12167,东城江南 ,5室3厅 ,369.87, 3层  
交通便利，周 边购物超市，餐饮娱乐多。,117,9175,中南世纪锦城 ,3室2厅 ,127.53, 低楼层
水沐清华小区，有锻炼器材，可以在小区欣赏美丽的花园,83,8557,水沐清华 ,3室2厅 ,97, 中楼层
水沐清华小区，南北房型，房间都朝阳，,90,8008,水沐清华 ,3室2厅 ,112.39, 中楼层
上海花园4室2厅2卫 户型佳采光佳 交通便利 低单价,106,7617,上海花园 ,4室2厅 ,139.17, 高楼层
开发区迎宾大道正中尚品毛坯房随时可看房,95,7852,正中尚品 ,4室2厅 ,121, 低楼层
黄河花园多层2楼  采光佳 无遮挡,95.8,9972,黄河花园十七地块 ,3室2厅 ,96.07, 低楼层
鼎立香榭丽花苑  5室3厅 看房随时,285,11975,鼎立香榭丽花苑 ,5室3厅 ,238, 3层  
开发区红豆美墅复式127平方毛坯,95,7481,红豆美墅 ,3室2厅 ,127, 5层  
南北通透、阳光刺眼、楼成好、诚意出售,110,9426,玖珑湾 ,3室2厅 ,116.7, 中楼层
水沐清华多层小区环境优美空气清爽,75,7654,水沐清华 ,3室2厅 ,98, 高楼层
户型方正，环境优美，随时看房。,95,7143,翠湖一号 ,3室2厅 ,133, 高楼层
韩侯花园 2室2厅 55万,55,5790,韩侯花园 ,2室2厅 ,95, 高楼层
中天华庭小高层 边户 采光好 公摊少 面积大,116.8,10815,中天华庭二期 ,3室2厅 ,108, 低楼层
翔宇大道  有轨电车旁 交通便利  宙辉国际诚心出售,145,8509,宙辉国际花园 ,4室2厅 ,170.42, 高楼层
力天健康城中间楼层，采光好，视野好。,94,7008,力天健康城 ,3室2厅 ,134.15, 高楼层
报业新城满2年，高层毛坯，2房 中间楼层,65,7927,报业新城 ,2室1厅 ,82, 中楼层
梁红玉路、万达边、 红军陪读  房东诚心出售,96,7449,香溢花城 ,3室2厅 ,128.89, 高楼层
星雨华府(淮安区) 3室2厅 120万,120,11429,星雨华府(淮安区) ,3室2厅 ,105, 低楼层
水沐清华多层小区环境优美空气清爽,78,7991,水沐清华 ,3室2厅 ,97.61, 中楼层
新晨佳苑北区 盐河边 菜场旁 交通便利 配套齐全,93,8455,新晨佳苑北区 ,3室2厅 ,110, 低楼层
好房出售 位置好 交通方便 购物方便,82.5,8419,河畔花城 ,3室1厅 ,98, 高楼层
水沐清华多层小区交通便利环境优美,82,7455,水沐清华 ,3室2厅 ,110, 高楼层
户型方正，环境优美，随时可以看房,143.1,10303,丰球和园 ,3室2厅 ,138.9, 低楼层
锦绣江南花园  采光好 交通便利 电梯房 满五,96,8305,锦绣江南花园 ,3室2厅 ,115.6, 高楼层
城开御园二期 3室2厅 69.8万,69.8,7671,城开御园二期 ,3室2厅 ,91, 高楼层
香格里拉楼层好，采光好，业主诚意出售.,145,10702,香格里拉A区 ,3室2厅 ,135.5, 中楼层
大学城商圈 公园龙湾 精装三房 家里欧派定制橱柜,98,7974,城置公园龙湾 ,3室2厅 ,122.9, 低楼层
文华名邸毛坯三房房满2年前面就是长征,112,10371,文华名邸 ,3室2厅 ,108, 中楼层
府前御景园 繁华地段 交通便利,79,6753,府前御景园 ,3室2厅 ,117, 中楼层
艺达名都    精装3室    边户   靠安东  靠车站,93,7116,艺达名都 ,3室2厅 ,130.7, 低楼层
阳光嘉园   精装3室  基本未住  品牌家具家电  有车库,80,6689,阳光嘉园 ,3室2厅 ,119.6, 中楼层
永兴上御  边户  精装修   满五唯一  可念书,71,6542,永兴上御 ,3室2厅 ,108.53, 高楼层
中交香槟国际 2室2厅 74万,74,8259,中交香槟国际 ,2室2厅 ,89.6, 中楼层
新城市广场 万达商圈 全新小区 电梯洋房 毛坯三房急售,142,11736,新城市广场(淮安区) ,3室2厅 ,121, 高楼层
君悦华城 3室2厅 72万,72,5781,君悦华城 ,3室2厅 ,124.56, 中楼层
阳光湖一号，毛坯、三房飞机户型,81,7923,中央华府 ,3室2厅 ,102.24, 中楼层
房子户型方正，采光好朝南的户型，,98,7968,天一名都 ,3室2厅 ,123, 中楼层
中交香槟国际3房好户型，看房方便，看好赶快下手，,101,10580,中交香槟国际 ,3室2厅 ,95.47, 中楼层
精装修三房，楼层好，采光好，安静，不临街，看房方便,84,9439,福晟钱隆城 ,3室2厅 ,89, 中楼层
金地尚城   毛坯房 2室   稀有多层   有车库,62,6079,金地·尚城 ,2室2厅 ,102, 低楼层
四季金辉大三室毛坯双卫  主卧客厅均朝南,95,8190,四季金辉 ,3室2厅 ,116, 高楼层
梁红玉路 红小  环境优美   交通方便,82,7962,学府壹号 ,3室2厅 ,103, 中楼层
交通便利，周 边购物超市，餐饮娱乐多。,68,8000,金华尚东国际 ,2室1厅 ,85, 高楼层
此房湖景房，视野好，户型方正..............,135,11582,中天优诗美地 ,2室2厅 ,116.57, 中楼层
毛坯3房户型方正楼层好采光刺眼业主诚心出售,88,8713,四季金辉观岚 ,3室2厅 ,101, 中楼层
毛坯3房满两年户型方正业主诚心出售看房方便,86,8515,四季金辉观岚 ,3室2厅 ,101, 高楼层
中南世纪城楼栋位置好，楼间距大，看房方便。,98,9732,中南世纪城 ,3室1厅 ,100.7, 低楼层
天恒小区 品牌物业 全新小区 电梯复式带阁楼 视野超棒,110,8886,天恒王府 ,3室2厅 ,123.8, 高楼层
水沐清华多层小区。交通便利，环境优美,68,8193,水沐清华 ,2室2厅 ,83, 高楼层
交通便利，小三室  三开间朝南,86,8866,四季金辉观岚 ,3室2厅 ,97, 中楼层
热门房源，旁边就是九阳湖公园，风景优美。,80,8906,中央华府 ,2室1厅 ,89.83, 中楼层
水沐清华多层小区环境优美交通方便，,75,8929,水沐清华 ,2室1厅 ,84, 中楼层
交通便利。南北户型。购物超市，餐饮娱乐多。,113,9417,华德力运河城 ,3室2厅 ,120, 低楼层
绿地世纪城.3房2厅，业主诚心出售,175,13889,绿地世纪城五期 ,3室2厅 ,126, 低楼层
华德力运河城毛坯三房 带超大平台并有一个阁楼 户型好,87,8447,华德力运河城 ,3室2厅 ,103, 高楼层
楼层好，采光好，视野开阔，交通便利,79.9,8878,中交香槟国际 ,2室2厅 ,90, 高楼层
中央府邸 3室2厅 125万,125,8412,中央府邸 ,3室2厅 ,148.6, 低楼层
光辉乾城3室 精装修 东边户 采光充足 交通便利,120.8,10414,联众光辉乾城 ,3室2厅 ,116, 中楼层
格局好 采光充足 配套设施齐全 满五年,50,9091,中鑫上城 ,2室1厅 ,55, 中楼层
格局方正，楼层好，视野宽阔，采光充足，配套设施齐全,68,7728,米兰花园 ,2室1厅 ,88, 低楼层
金都秀水安置小区 3室2厅 88万,88,7720,金都秀水安置小区 ,3室2厅 ,114, 高楼层
格局方正，楼层好，视野宽阔，采光充足，配套设施齐全,125,7764,香缇豪庭 ,4室2厅 ,161, 高楼层
海润枫景佳苑 3室2厅 105.9万,105.9,9925,海润枫景佳苑 ,3室2厅 ,106.71, 高楼层
盛大开元名都 3室2厅 66.8万,66.8,4738,盛大开元名都 ,3室2厅 ,141, 低楼层
滨河新苑 3室2厅 38万,38,2993,滨河新苑 ,3室2厅 ,127, 低楼层
中熙凤凰城精装三房出售，满两年，好楼层,109,8935,中熙凤凰城 ,3室2厅 ,122, 中楼层
格局分明，居住适宜，卧室朝阳 采光好，,110,8397,华德力运河城 ,3室2厅 ,131, 低楼层
香水郡 5室2厅2卫 毛坯房 随时可看房,155,8010,香水郡 ,5室2厅 ,193.51, 高楼层
清中旁康浦食品城中层阳光充足房源推荐,143,12544,康浦食品城 ,3室2厅 ,114, 中楼层
東方家園 2室1厅 79.8万,79.8,9374,東方家園 ,2室1厅 ,85.13, 中楼层
琥珀美墅 5室3厅 230万,230,8847,琥珀美墅 ,5室3厅 ,260, 2层  
交通便利，周 边购物超市，餐饮娱乐多。,98,7350,力天健康城 ,3室2厅 ,133.35, 低楼层
和达雅苑A区 3室2厅 80万,80,7408,和达雅苑A区 ,3室2厅 ,108, 高楼层
御花园C区 3室1厅 72万,72,6793,御花园C区 ,3室1厅 ,106, 低楼层
恒辉花园高楼层采光佳 户型佳满五唯一,100,8548,恒辉花园 ,3室2厅 ,117, 高楼层
石塔湖 西园小区户型周正采光好,70,9334,西园小区 ,2室2厅 ,75, 高楼层
幸福城精装修，有入户花园9平方，随时看房,127,11760,幸福城 ,3室2厅 ,108, 高楼层
五洲龙湾B区 3室2厅 88万,88,7504,五洲龙湾B区 ,3室2厅 ,117.28, 高楼层
府升小区精装三房出售，满两年，看房随时,90,8491,府升小区 ,3室2厅 ,106, 中楼层
盛大开元名都 3室2厅 53万,53,4530,盛大开元名都 ,3室2厅 ,117, 低楼层
盛大开元名都 3室2厅 52.8万,52.8,4513,盛大开元名都 ,3室2厅 ,117, 低楼层
江淮人家 3室2厅 86.8万,86.8,9645,江淮人家 ,3室2厅 ,90, 低楼层
佳兴南苑 3室2厅 55万,55,5340,佳兴南苑 ,3室2厅 ,103, 高楼层
盛大开元名都 3室2厅 53万,53,4530,盛大开元名都 ,3室2厅 ,117, 高楼层
樱花小区4期东边户双阳台双室朝阳,100.3,8500,樱花小区 ,3室2厅 ,118, 高楼层
科安国际花园三室两厅精装适中楼层无遮挡,120,10345,科安国际花园 ,3室2厅 ,116, 高楼层
郦城国际南苑 3室2厅 155万,155,14623,郦城国际南苑 ,3室2厅 ,106, 中楼层
上海路利苑陆区，精装三房，设施齐全，随时看房,140,10527,利苑陆区 ,3室2厅 ,133, 中楼层
淮安碧桂园 精装五房两卫 房东诚心出售 看好的来,254.9,9964,淮安碧桂园 ,5室2厅 ,255.84, 低楼层
丰球润园 3室2厅 148万,148,10000,丰球润园 ,3室2厅 ,148, 高楼层
淮安碧桂园 精装四房 有70平大露台 阳光无遮挡,164.9,10545,淮安碧桂园 ,4室2厅 ,156.39, 高楼层
淮上人家 地理位置优越 物业设施完善 交通便利,94.8,8471,淮上人家 ,3室2厅 ,111.92, 高楼层
开发区米兰花园经典户型 二室朝阳大客厅,96,8262,米兰花园 ,3室2厅 ,116.2, 高楼层
金陵名府 楚州大道 精装2房 多层楼 房东诚心出售,88,7872,金陵名府 ,2室2厅 ,111.79, 中楼层
此房产权清晰，无债务纠纷，采光充足，配套齐全,100,8889,中央华府 ,3室2厅 ,112.5, 中楼层
精装三房，房子保养的比较好，房东诚心出售，已委托,100,9133,大湖城邦玫瑰园 ,3室1厅 ,109.5, 低楼层
华祥新绿洲 3室1厅 81万,81,7753,华祥新绿洲 ,3室1厅 ,104.48, 高楼层
希尔顿 采光好全天采光 配套设施齐全，交通便利,95,9284,东方希尔顿 ,2室2厅 ,102.33, 中楼层
维多利亚花苑四室朝阳，复式电梯洋房 东边户采光好,140,6611,维多莉雅花苑 ,4室3厅 ,211.77, 高楼层
亿力未来城，房屋出售，地理位置良好,91,11390,亿力未来城 ,2室1厅 ,79.9, 高楼层
楼层好，采光好，业主想早点卖掉！,95,9145,翔宇壹号 ,2室2厅 ,103.89, 高楼层
绿地四期 满五唯一  采光好 户型板正,182,14326,绿地世纪城四期 ,3室2厅 ,127.05, 高楼层
万达商圈 水渡口旁边 融侨华府 精装修 设施全,125,10981,融侨·华府 ,3室2厅 ,113.84, 高楼层
樱花小区3室 好楼层2楼 采光充足 位置好 有平地车库,96.8,9199,樱花小区 ,3室2厅 ,105.23, 中楼层
万达商圈 云梦清河一期 三居室 将装修 设施齐 急售,109,9753,云梦清河 ,3室2厅 ,111.77, 中楼层
环城小区  满五不唯一  户型方正  采光无 敌,179,16689,环城小区 ,4室3厅 ,107.26, 高楼层
急售 鸿基雅园一楼带大院子的毛坯四室,155,11178,鸿基雅园 ,4室2厅 ,138.67, 低楼层
供电局宿舍2室 采光充足 位置好 交通方便 视野宽阔,69.8,9357,淮阴县供电局宿舍 ,2室2厅 ,74.6, 高楼层
绿地世纪城五期 2室2厅 150万,150,15198,绿地世纪城五期 ,2室2厅 ,98.7, 中楼层
文景君庭 毛坯三房 现诚心出售 有需要的看过来,88,7653,文景君庭 ,3室2厅 ,115, 高楼层
万达公寓 2室2厅 88万,88,8827,万达公寓 ,2室2厅 ,99.7, 高楼层
翔宇大道旁 建滔裕花园 房东诚心出售,97,8960,建滔裕花园 ,3室2厅 ,108.26, 低楼层
翔宇大道旁 建滔裕花园 房东诚心出售,105,8937,建滔裕花园 ,3室2厅 ,117.5, 低楼层
清河嘉园3室精装修 采光好 楼层好 有车库。,81.5,8905,清河嘉园 ,3室1厅 ,91.53, 中楼层
学府壹号 2室2厅 67万,67,7614,学府壹号 ,2室2厅 ,88, 高楼层
中南世纪城3期别墅  新保健院，奥体仅隔一条路,210,15442,中南世纪城三期玺园 ,4室2厅 ,136, 下叠
石塔湖小区中层·户型方正通透·钥匙房看房随时,204,10000,石塔湖小区 ,5室2厅 ,204, 高楼层
丰泰东方康桥，交通便利，楼层好，视野宽阔,93,8455,丰泰东方康桥 ,3室2厅 ,110, 低楼层
海棠广场小区淮安区高品质小区。,130,10000,翔宇海棠广场 ,3室2厅 ,130, 中楼层
红星国际广场    户型方正   采光刺眼,82,9698,红星国际广场 ,2室2厅 ,84.56, 高楼层
旺江一品  精装修   顶楼阁楼,110,11579,旺江壹品 ,3室3厅 ,95, 高楼层
精装修 随时看房 交通便利 户型方正,118,7565,淮安恒大名都 ,3室2厅 ,156, 中楼层
盛世豪庭，精装三房，拎包入住。。,91.8,8271,盛世豪庭(楚州区) ,3室2厅 ,111, 中楼层
叶与城 花园洋房 三四楼叠加 采光好 户型方正,160,8542,叶与城 ,4室2厅 ,187.31, 中楼层
高楼层采光好，交通便利，配套设施齐全，满两年，,86,7351,京河湾公寓北区 ,4室1厅 ,117, 高楼层
茂华国际 钵池山公园 万达广场 大润发 菜场,188,10975,茂华国际汇南区 ,4室2厅 ,171.3, 低楼层
淮师文华苑 4室1厅 180万,180,11250,淮师文华苑 ,4室1厅 ,160, 高楼层
前进小区 三室朝南  四室   五楼,105,8732,前进小区 ,4室2厅 ,120.26, 高楼层
万达旁，交通方便，购物超市多，餐饮娱乐多。,115,12844,金地中心 ,2室2厅 ,89.54, 中楼层
品质小区，电梯洋房，中间楼层，毛坯房！！,115,8647,学府名门 ,4室2厅 ,133, 低楼层
御水天成毛坯大5房，好楼层。。,120,7059,御水天成 ,5室2厅 ,170, 中楼层
绿地世纪城纯毛坯别墅带院子，交通便利，环境优美,698,30481,绿地世纪城一期 ,7室3厅 ,229, 3层  
万达北边淮阴区樱花小区3期5楼带阁楼的带露台有车库,106,9815,樱花小区 ,4室2厅 ,108, 高楼层
大湖城邦玫瑰园 别墅 院子60平方，可做八房,287.6,11020,大湖城邦玫瑰园 ,7室2厅 ,261, 3层  
水渡口大道边，品质多层，东方丽景,86,8114,东方丽景 ,3室2厅 ,106, 中楼层
宏基雅园洋房 满两年空中别墅带三个露台 采光充足,85,5556,鸿基雅园 ,5室3厅 ,153, 高楼层
永福华府3室毛坯 好楼层 采光充足 交通方便 总价低,72,6429,永福华府 ,3室2厅 ,112, 中楼层
白鹭湖丰球和园，毛坯，适合养老随时看房,115,8334,丰球和园 ,3室2厅 ,138, 低楼层
月季花园 5室3厅 120万,120,7082,月季花园 ,5室3厅 ,169.45, 高楼层
香缇豪庭多层中间户    精装修  有车位,115,9159,香缇豪庭 ,3室2厅 ,125.57, 中楼层
开发区香榭丽高层边户精装3房 家具家电齐全 单价美丽,95,7090,鼎立香榭丽花苑北区 ,3室2厅 ,134, 低楼层
东大院五区 3室2厅 169万,169,18394,东大院五区 ,3室2厅 ,91.88, 高楼层
利群时代超市下面 金樽国际精装修3房,80,10944,金樽国际公寓 ,3室1厅 ,73.1, 低楼层
樱花小区多层二楼 有车库 大平台   楼层好采光足,135,10385,樱花小区 ,4室2厅 ,130, 低楼层
淮海西路地段，户型方正格局通透，有钥匙随时看房,114.8,12886,华都公寓 ,3室2厅 ,89.09, 中楼层
尚都汇，采光好视，野宽阔，交通方便。,116,8657,尚都汇B区 ,4室2厅 ,134, 高楼层
翰香美地别墅，毛坯，房子不满2年，出售,205,9277,翰香美地 ,5室2厅 ,221, 低楼层
九龙湖金泽苑 4室2厅 160万,160,10110,九龙湖金泽苑 ,4室2厅 ,158.26, 中楼层
急售 一品国际顶楼复式老证 随时看房近轻轨纪念馆,163,7875,一品国际 ,5室2厅 ,207, 高楼层
速    销房！一品国际 景观电梯顶楼复式毛坯随意装,172,7709,一品国际 ,5室2厅 ,223.13, 高楼层
红豆美墅 联排别墅 采光全天 房主急售,330,15493,红豆美墅公园里 ,3室2厅 ,213, 中楼层
二期小高层 单挑王 哪个房子能比得过 毛坯3室好房,163.5,13856,绿地世纪城国际花都南苑 ,3室2厅 ,118, 低楼层
钱隆城 双开间宽幅阳台 全天采光大三房,85,8227,福晟钱隆城 ,3室2厅 ,103.33, 高楼层
九龙湖金泽苑精装3房 拎包入住 景观房 公园旁,98.5,8492,九龙湖金泽苑 ,3室2厅 ,116, 高楼层
淮阴区稀有的多层东升花园急售急售,100,7300,东昇花园(北京东路) ,4室2厅 ,137, 高楼层
本房子，楼层好，采光好，小区环境好,102,7811,中茵春天里翰林花园III-IV期 ,4室2厅 ,130.59, 低楼层
楼层好，视野好采光充足，南北通，户型方正,126,9628,万达广场一期住宅 ,3室2厅 ,130.88, 中楼层
优质楼层，没有城市喧嚣，全天采光，居家好房！,120,6487,英伦华府 ,5室2厅 ,184.99, 高楼层
长岛花园，毛坯，4室，不满2年，出售。,109.9,8011,长岛花园 ,4室2厅 ,137.19, 中楼层
此房多层1楼，毛坯3房，户型好.房东诚心出售,110,8397,中茵春天里翰林花园III-IV期 ,4室2厅 ,131, 低楼层
书院名居 电梯洋房6楼120平米，毛坯房,100,8383,书院名居 ,3室2厅 ,119.3, 高楼层
水沐清华小区有儿童乐园，有健身器材,90,9000,水沐清华 ,3室1厅 ,100, 高楼层
书院名居，3房，毛坯，满2年，房东诚心出售,86,7625,书院名居 ,3室1厅 ,112.8, 高楼层
康桥公馆环境优美，交通便利，出行方便，位置好,60,6000,康桥公馆 ,2室2厅 ,100, 中楼层
中南锦城精装电梯三房老证  近森林公园吾悦广场,110.8,10231,中南世纪锦城 ,3室2厅 ,108.3, 高楼层
新亚商圈 新世纪花园3室两卫精装低层拎包入住,139.5,10521,新世纪城市花园 ,3室2厅 ,132.6, 低楼层
房子真心想卖的.........,81,6025,东湖翠景苑 ,3室2厅 ,134.46, 高楼层
叠加别墅 2楼 采光好 环城高架 总价低 有车库35平,165,7675,鼎立香榭丽花苑北区 ,5室2厅 ,215, 中楼层
金辉天鹅湾 4室2厅 350万,350,9001,金辉天鹅湾 ,4室2厅 ,388.86, 低楼层
交通便利，周 边购物超市，餐饮娱乐多,118,10849,东冠逸景 ,3室2厅 ,108.77, 中楼层
亿力五期楼层好，采光好，业主诚意出售.,148,10725,亿力未来城五期 ,3室2厅 ,138, 高楼层
鼎立香榭丽 温馨两房毛坯 装修风格随意,68.8,6491,鼎立香榭丽花苑南区 ,2室2厅 ,106, 中楼层
深圳路边上，多层带阁楼，有车库，大户型，高利用率,96,8000,都市嘉源小区 ,3室2厅 ,120, 高楼层
此房满两年 格局好，楼层好，视野宽阔，采光充足,176,10932,亿力未来城 ,3室2厅 ,161, 低楼层
茂华国际楼层好，采光好，业主诚意出售.,178,12192,茂华国际汇南区 ,3室2厅 ,146, 中楼层
盛世豪庭简单装修，房主急售。。。。,91,8966,盛世豪庭(楚州区) ,2室2厅 ,101.5, 中楼层
金吉华冠苑 高品质住宅 与融创做邻居 双阳台设计,96,7957,金吉华冠苑 ,2室2厅 ,120.66, 高楼层
房子不满2年 家具家电都有.采光好 房子没有住过人 ..,93,9118,淮安恒大名都 ,3室2厅 ,102, 中楼层
英伦华府 4室3厅 毛坯 随时可看房,120,10620,英伦华府 ,4室3厅 ,113, 高楼层
南城小区南区多层六楼带阁楼车库,57,5158,南城小区 ,3室2厅 ,110.51, 高楼层
世纪佳苑顶楼复式装修好适用面积大业主诚售随时看房,82,7900,世纪佳苑 ,3室3厅 ,103.8, 高楼层
此房全明户型，视野好，全天采光，拎包就住,98,8271,东湖怡景苑 ,3室2厅 ,118.5, 高楼层
金满华府 毛坯房 任意装修  房主诚心出售,138,6894,金满華府 ,5室2厅 ,200.2, 高楼层
利苑新村三区 3室2厅 136万,136,9646,利苑新村三区 ,3室2厅 ,141, 低楼层
采光好 小区环境优美  配套齐全,117,7481,叶与城 ,5室2厅 ,156.41, 高楼层
北京路边  恒大名都 精装三房  全新品牌家具家电,99.8,7203,淮安恒大名都 ,3室2厅 ,138.56, 中楼层
河畔花城楼层好，采光好，业主想早点卖掉！,123,9284,河畔花城 ,3室2厅 ,132.5, 中楼层
楼层好 视野宽阔 采光充足 配套设施齐 交通便利,120,8572,淮安人家 ,4室2厅 ,140, 高楼层
中南世纪城 4室2厅 109万,109,8791,中南世纪城 ,4室2厅 ,124, 高楼层
翔宇大道旁 汇金豪庭 河畔花城 东湖望景苑 好房出售,117,8358,东湖望景苑 ,3室2厅 ,140, 中楼层
户型方正，采光通透，交通便利，,124,9083,河畔花城 ,3室2厅 ,136.53, 低楼层
郁金蓝湾五房两厅三卫毛坯可随意装修看房有钥匙 诚售,130,6843,郁金蓝湾 ,5室2厅 ,190, 高楼层
此房源，采光好，房屋格局分明，视野开阔,100,11364,东冠逸轩 ,3室2厅 ,88, 低楼层
亿丰时代  标准三房 现诚心出售,97.5,8316,亿丰时代广场 ,3室2厅 ,117.25, 高楼层
新盛新村 2室2厅 75万,75,9481,新盛新村 ,2室2厅 ,79.11, 高楼层
满二年，毛坯房，就这一套，有钥匙有车库,120,9757,迎春嘉园 ,3室2厅 ,123, 中楼层
城置公园龙湾大三房全天候采光满两年毛坯房看房随时,95,6691,城置公园龙湾 ,3室2厅 ,142, 低楼层
户型方正，环境优美，随时可以看房。,130,8905,丰球和园 ,4室2厅 ,146, 高楼层
绿地二期别墅，可以随时看房，独门独院！,650,29954,绿地世纪城国际花都南苑 ,5室2厅 ,217, 3层  
红星国际   南北通透  中间楼层  采光刺眼,114,9974,红星国际广场 ,3室2厅 ,114.3, 中楼层
开发区  罗马假日  维多利亚  米兰花园旁碧桂园,145,9864,淮安碧桂园 ,4室2厅 ,147, 低楼层
中茵春天里翰林花园III-IV期 5室1厅 145万,145,9667,中茵春天里翰林花园III-IV期 ,5室1厅 ,150, 高楼层
格局方正，楼层好，视野宽阔，采光充足，配套设施齐全,95,7902,文景君庭 ,3室2厅 ,120.23, 高楼层
海润风景  户型方正  采光刺眼,106,8869,海润枫景佳苑 ,3室2厅 ,119.53, 高楼层
香格里拉D区 3室2厅 115万,115,10302,香格里拉D区 ,3室2厅 ,111.63, 低楼层
淮中旁边 盛世名 门 精装3房 家电家具齐全 有大车库,118,10728,盛世名门 ,3室2厅 ,110, 中楼层
樱花小区精装修，房主精心装修的，材料全选的品牌,95,9048,樱花小区 ,3室2厅 ,105, 高楼层
文锦城锦苑    此房为三房毛坯，可任意装修，,100,8696,文锦城锦苑 ,3室2厅 ,115, 高楼层
亿丰时代广场 边户三房 楼层好 采光好 交通便利 商圈,89.5,8862,亿丰时代广场 ,3室2厅 ,101, 高楼层
学林雅苑  三房，户型方正  通透   楼层阳光充足,85,9043,学林雅苑 ,3室1厅 ,94, 低楼层
格局好，楼层好，视野开阔，采光充足，,86,8776,东昇花园(沈坤路) ,3室2厅 ,98, 中楼层
四季花园 2室2厅 91.8万,91.8,9346,四季花园 ,2室2厅 ,98.23, 低楼层
香溢花城 电梯毛坯三房 地段好 户型好 近万达 广场,92,7245,香溢花城 ,3室2厅 ,127, 低楼层
天津路大桥旁郁金蓝湾四房毛坯可随意装修，看房有钥匙,118,6942,郁金蓝湾 ,4室2厅 ,170, 高楼层
生态新城绿地一期 翔宇大道旁 俯瞰大运河 里运河,150,15665,绿地世纪城一期 ,3室2厅 ,95.76, 中楼层
开发区  罗马假日  维多利亚  米兰花园旁碧桂园,188,10000,淮安碧桂园 ,4室2厅 ,188, 高楼层
小区环境好，居民素质高，保安尽心尽职,121,10432,中天翡丽湾 ,3室2厅 ,116, 中楼层
枫丹白露 3室2厅 126万,126,10414,枫丹白露 ,3室2厅 ,121, 高楼层
康城明珠精装电梯房 三室朝阳户型方正 生活交通方便,139.8,10221,康城明珠北区 ,3室2厅 ,136.78, 低楼层
淮海南路主干道旁，生活设施齐全，看房方便,118,9732,淮海购物广场小区 ,3室2厅 ,121.25, 中楼层
大运河畔，主干道旁，环境优美，出行方便,110,8731,华德力运河城 ,3室2厅 ,126, 中楼层
河畔花城 精装三房未住过 品牌家具家电 有钥匙,141,9998,河畔花城 ,3室2厅 ,141.03, 低楼层
华德力运河城 3室2厅 83万,83,8059,华德力运河城 ,3室2厅 ,103, 低楼层
环境优雅，  出行方便，生活设施齐全。,156,11382,梧桐苑 ,3室2厅 ,137.06, 中楼层
上海康城花园洋房一楼带院子 3开间朝阳 户型很棒,162,10527,上海康城 ,3室2厅 ,153.9, 低楼层
绿地世纪城一期 小四房  采光无遮挡,189,15000,绿地世纪城一期 ,4室2厅 ,126, 低楼层
小区绿化高，环境好 ，高层楼间距大，采光好。满2年,98,7872,晓庄教师公寓 ,3室2厅 ,124.5, 中楼层
恒大名都二期大三房双阳台带储藏室,110,7878,淮安恒大名都 ,3室2厅 ,139.63, 低楼层
户型方正、采光好、视野好、楼层好,73,6607,安澜花苑 ,3室1厅 ,110.5, 中楼层
翰林花园  全新毛坯三房 朝南 有钥匙看房方便,70,7517,翰林花园 ,3室1厅 ,93.13, 高楼层
此房满2年，毛坯，自己随便装自己喜欢的。超大阳台,100,9901,香格里拉B区 ,2室2厅 ,101, 中楼层
金色罗马 113平米90万，八楼，户型方正，南北通透,88,7788,金色罗马 ,3室2厅 ,113, 中楼层
